"length","heigth","value","stock_id","id_assignment","id_job_type"
"40","30","1","9","1163","1"
"27","20","1","9","1158","1"
"3","5","1","9","1165","3"
"60","30","1","9","1160","1"
"30","20","1","9","1160","1"
"60","40","1","9","1168","1"
"30","20","1","9","1161","1"
"30","20","1","9","1169","2"
"50","30","1","9","1164","1"
"60","40","1","9","1164","1"
"20","20","1","9","1164","1"
"50","40","1","9","1171","1"
"38","30","1","9","1175","1"
"30","20","1","9","1172","1"
"30","18","1","9","1180","1"
"50","30","1","9","1173","1"
"60","40","1","9","1179","1"
"30","18","1","9","1179","1"
"60","40","1","9","1182","1"
"50","30","1","9","1176","1"
"15","20","1","9","1177","1"
"50","30","1","9","1177","1"
"30","20","1","9","1183","1"
"30","20","1","9","1189","1"
"60","40","1","9","1189","1"
"10","12","1","9","1189","1"
"60","40","1","9","1187","1"
"50","40","1","9","1187","1"
"45","30","1","9","1187","1"
"50","40","1","9","1186","1"
"50","30","1","9","1192","1"
"5","10","1","9","1184","1"
"5","10","1","9","1184","1"
"5","10","1","9","1184","1"
"30","20","1","9","1200","1"
"60","40","1","9","1200","1"
"16","10","1","9","1200","1"
"30","20","1","9","1201","1"
"12","12","1","9","1201","1"
"60","40","1","9","1205","1"
"50","30","1","9","1206","1"
"8","10","1","9","1191","1"
"60","40","1","9","1207","2"
"30","18","1","9","1207","2"
"42","30","1","9","1196","1"
"30","20","1","9","1196","1"
"47","40","0","9","1194","1"
"50","30","1","9","1208","1"
"25","20","1","9","1215","1"
"30","20","1","9","1212","1"
"50","30","0","9","1218","2"
"45","30","0","9","1213","1"
"60","40","1","9","1214","1"
"30","20","1","9","1221","1"
"25","20","1","9","1209","1"
"45","35","1","9","1219","2"
"60","35","1","9","1197","1"
"30","20","1","9","1223","1"
"30","30","1","9","1224","1"
"30","42","1","9","1222","1"
"60","40","1","9","1226","1"
"30","20","1","9","1210","1"
"15","60","1","9","1228","3"
"50","30","1","9","1217","2"
"60","40","2","9","1229","1"
"45","40","1","9","1230","1"
"40","40","1","9","1235","1"
"30","20","1","9","1227","1"
"60","40","1","9","1233","1"
"45","30","1","9","1236","3"
"60","40","1","9","1237","1"
"60","40","1","9","1234","3"
"26","20","1","9","1238","1"
"45","30","1","9","1239","1"
"60","40","1","9","1241","1"
"30","20","1","9","1242","1"
"60","16","1","9","1240","1"
"20","20","1","9","1240","1"
"20","30","1","9","1245","2"
"30","20","1","9","1247","1"
"50","30","29","9","1248","1"
"30","20","1","9","1249","1"
"43","30","1","9","1251","1"
"60","40","1","9","1255","1"
"30","20","1","9","1255","1"
"30","20","1","9","1258","2"
"30","20","1","9","1260","1"
"30","20","1","9","1259","2"
"60","40","1","9","1259","2"
"50","30","1","9","1257","1"
"25","20","1","9","1261","1"
"30","20","1","9","1264","1"
"28","19","1","9","1264","1"
"43","30","1","9","1264","1"
"60","40","3","9","1266","1"
"18","18","1","9","1270","1"
"40","30","1","9","1270","1"
"20","27","1","9","1273","1"
"30","20","1","9","1267","1"
"13","40","1","9","1272","1"
"54","34","1","9","1272","1"
"42","30","1","9","1276","1"
"40","25","1","9","1278","1"
"12","20","1","9","1280","1"
"40","30","1","9","1283","1"
"50","30","1","9","1279","3"
"28","20","1","9","1284","1"
"55","50","1","9","1289","1"
"60","40","1","9","1290","1"
"75","20","1","9","1275","1"
"20","30","1","9","1297","1"
"15","15","1","9","1292","1"
"60","40","1","9","1294","2"
"30","20","0","9","1294","2"
"20","30","1","9","1298","1"
"20","15","1","9","1299","4"
"40","30","1","9","1299","4"
"30","65","1","9","1301","1"
"30","18","1","9","1301","1"
"60","40","1","9","1302","1"
"30","20","1","9","1302","1"
"30","20","1","9","1304","1"
"30","20","1","9","1307","1"
"30","20","1","9","1308","2"
"30","30","1","9","1306","1"
"50","30","1","9","1231","2"
"60","40","1","9","1313","1"
"45","22","1","9","1313","1"
"60","40","1","9","1316","2"
"45","22","1","9","1316","2"
"25","20","1","9","1317","1"
"30","20","1","9","1318","1"
"60","40","1","9","1319","1"
"15","20","1","9","1319","1"
"43","58","1","9","1321","1"
"40","30","1","9","1320","1"
"30","20","1","9","1325","2"
"30","20","1","9","1325","1"
"30","20","1","9","1324","1"
"60","40","1","9","1326","1"
"55","20","1","9","1326","1"
"30","20","1","9","1324","2"
"40","30","1","9","1332","1"
"51","40","1","9","1330","1"
"30","20","1","9","1331","1"
"30","20","1","9","1333","1"
"30","30","1","9","1322","2"
"30","20","1","9","1328","1"
"58","40","1","9","1323","1"
"30","10","1","9","1323","1"
"30","20","1","9","1334","1"
"30","20","1","9","1337","1"
"36","30","1","9","1341","1"
"40","30","1","9","1340","1"
"30","20","1","9","1342","1"
"30","20","1","9","1336","1"
"50","30","1","9","1344","1"
"30","30","1","9","1327","1"
"35","25","1","9","1348","1"
"40","30","1","9","1347","1"
"51","40","1","9","1345","2"
"50","30","1","9","1349","1"
"60","30","1","9","1343","1"
"50","30","1","9","1312","1"
"50","40","1","9","1354","1"
"30","20","1","9","1356","1"
"50","30","1","9","1351","2"
"30","20","1","9","1357","1"
"40","19","1","9","1358","1"
"50","30","1","9","1366","1"
"13","48","1","9","1353","1"
"20","42","1","9","1353","1"
"23","42","1","9","1353","1"
"8","31","1","9","1353","1"
"30","20","1","9","1368","1"
"42","18","1","9","1368","1"
"28","20","1","9","1371","1"
"29","20","1","9","1372","1"
"30","20","1","9","1375","1"
"30","20","1","9","1374","1"
"22","23","1","9","1376","1"
"25","30","1","9","1378","1"
"50","30","1","9","1361","1"
"50","30","1","9","1361","1"
"40","30","1","9","1360","2"
"28","29","1","9","1383","1"
"30","10","1","9","1384","1"
"60","40","1","9","1362","2"
"30","20","1","9","1380","1"
"30","20","1","9","1380","1"
"47","30","1","9","1387","1"
"50","30","1","9","1365","1"
"50","30","1","9","1381","1"
"43","28","1","9","1393","1"
"60","40","1","9","1388","1"
"60","40","1","9","1392","1"
"0","0","0","9","1392","1"
"50","30","1","9","1395","1"
"30","20","1","9","1395","1"
"30","20","1","9","1386","1"
"15","10","1","9","1394","1"
"25","17","1","9","1405","1"
"30","20","1","9","1403","1"
"46","30","1","9","1400","1"
"30","20","3","9","1409","1"
"20","20","1","9","1399","1"
"30","20","1","9","1410","1"
"40","30","1","9","1401","1"
"30","40","1","9","1402","1"
"51","40","1","9","1411","1"
"50","30","1","9","1418","1"
"30","18","1","9","1413","1"
"27","20","0","9","1413","1"
"30","20","1","9","1421","1"
"30","20","1","9","1426","1"
"13","25","1","9","1423","1"
"21","20","1","9","1422","1"
"35","35","1","9","1429","1"
"20","10","1","9","1425","1"
"30","20","1","9","1431","1"
"20","10","1","9","1431","1"
"30","60","1","9","1427","1"
"40","20","1","9","1428","1"
"50","30","1","9","1434","1"
"29","20","1","9","1435","1"
"44","30","1","9","1433","1"
"60","40","1","9","1430","1"
"30","20","1","9","1430","1"
"11","20","1","9","1438","1"
"52","40","1","9","1396","4"
"41","30","1","9","1443","1"
"39","30","1","9","1444","1"
"30","20","1","9","1441","1"
"50","30","1","9","1446","1"
"30","20","1","9","1436","1"
"60","40","1","9","1419","2"
"4","8","1","9","1419","2"
"40","30","1","9","1449","1"
"30","20","1","9","1440","1"
"38","28","1","9","1454","1"
"50","30","1","9","1453","2"
"30","20","1","9","1453","2"
"48","36","1","9","1451","1"
"45","30","1","9","1450","3"
"30","20","1","9","1467","1"
"32","49","1","9","1459","1"
"23","15","1","9","1468","1"
"20","16","1","9","1468","1"
"30","20","1","9","1462","1"
"12","10","1","9","1457","1"
"26","18","0","9","1457","1"
"30","20","1","9","1448","1"
"10","10","1","9","1463","1"
"22","20","1","9","1461","1"
"30","20","1","9","1455","1"
"45","29","1","9","1465","1"
"17","27","1","9","1474","2"
"14","12","1","9","1456","1"
"30","60","1","9","1475","1"
"37","30","1","9","1478","1"
"25","20","1","9","1477","1"
"50","40","1","9","1464","2"
"20","20","1","9","1481","1"
"26","20","1","9","1471","1"
"30","39","1","9","1476","1"
"30","20","1","9","1445","2"
"60","40","1","9","1452","2"
"30","20","1","9","1452","2"
"30","20","1","9","1486","1"
"30","20","1","9","1488","1"
"30","20","1","9","1481","1"
"42","29","1","9","1489","1"
"30","20","1","9","1487","2"
"30","20","1","9","1483","2"
"25","16","1","9","1492","1"
"25","20","1","9","1492","1"
"32","30","1","9","1496","1"
"30","20","1","9","1497","1"
"25","30","1","9","1491","2"
"30","20","1","9","1490","1"
"25","24","1","9","1499","1"
"57","39","1","9","1504","1"
