"referral_id","carrier_id","auth_id"
"174","174","1096"
"174","174","1112"
"174","174","1126"
"174","174","1139"
"174","174","1140"
"174","174","1141"
"175","175","780"
"175","175","781"
"175","175","1047"
"175","175","1126"
"177","177","1011"
"177","177","1058"
"179","179","780"
"179","179","781"
"179","179","1047"
"180","180","780"
"180","180","781"
"180","180","1047"
"181","181","780"
"181","181","781"
"181","181","1047"
"182","182","780"
"183","183","780"
"186","186","780"
"186","186","781"
"188","188","780"
"188","188","781"
"188","188","1047"
"190","190","780"
"190","190","781"
"190","190","1047"
"191","191","780"
"191","191","781"
"191","191","1047"
"192","192","780"
"192","192","781"
"192","192","1047"
"193","193","1051"
"193","193","1052"
"193","193","1059"
"193","193","1112"
"194","194","1122"
"194","194","1123"
"195","195","780"
"195","195","781"
"196","196","1047"
"196","196","1092"
"197","197","780"
"197","197","781"
"198","198","780"
"199","199","780"
"199","199","781"
"200","200","780"
"200","200","781"
"202","202","1066"
"202","202","1067"
"202","202","1081"
"203","203","780"
"203","203","781"
"203","203","1047"
"204","204","780"
"204","204","781"
"206","206","780"
"206","206","781"
"206","206","1047"
"206","206","1112"
"207","207","780"
"207","207","781"
"207","207","1047"
"207","207","1126"
"208","208","781"
"208","208","790"
"208","208","1020"
"208","208","1028"
"208","208","1047"
"209","209","780"
"209","209","781"
"209","209","1047"
"210","210","780"
"210","210","781"
"210","210","1047"
"211","211","780"
"211","211","781"
"211","211","1047"
"211","211","1112"
"212","212","780"
"212","212","781"
"212","212","1047"
"213","213","780"
"213","213","781"
"213","213","1047"
"217","217","780"
"217","217","781"
"217","217","1074"
"217","217","1080"
"217","217","1083"
"217","217","1112"
"217","217","1143"
"219","219","780"
"219","219","781"
"219","219","1047"
"230","230","781"
"230","230","790"
"230","230","1047"
"230","230","1083"
"230","230","1087"
"230","230","1089"
"233","233","780"
"233","233","781"
"233","233","1047"
"233","233","1097"
"233","233","1098"
"233","233","1099"
"234","234","780"
"234","234","781"
"237","237","780"
"237","237","781"
"237","237","1006"
"237","237","1007"
"237","237","1009"
"256","256","780"
"256","256","781"
"256","256","1047"
"273","273","780"
"273","273","781"
"273","273","1047"
"394","394","780"
"394","394","781"
"394","394","1047"
"408","408","780"
"408","408","781"
"408","408","1000"
"408","408","1051"
"408","408","1052"
"408","408","1059"
"408","408","1065"
"408","408","1090"
"408","408","1106"
"408","408","1114"
"408","408","1115"
"408","408","1120"
"408","408","1121"
"408","408","1124"
"408","408","1129"
"408","408","1130"
"408","408","1131"
"408","408","1132"
