"assignment_id","job_type"
"30278","1"
"30277","1"
"30276","1"
"30275","1"
"30274","1,11"
"30273","2"
"30272","1"
"30271","1"
"30270","1"
"30269","1"
"30268","1"
"30267","1"
"30266","1"
"30265","1"
"30264","1"
"30263","1"
"30262","1"
"30261","8"
"30260","1"
"30259","1"
"30258","1"
"30257","1,11"
"30256","1"
"30255","1"
"30254","2"
"30253","1"
"30252","1"
"30251","2"
"30250","1"
"30249","1"
"30248","8"
"30247","1"
"30246","1"
"30245","2"
"30244","1"
"30243","1,8"
"30242","3"
"30241","1"
"30240","1"
"30239","1"
"30238","1"
"30237","1"
"30236","1"
"30235","1"
"30234","1"
"30233","1"
"30232","1"
