"id","billed_invoce","paid_date","paid_amount","parcial_payment_one_date","parcial_payment_one","parcial_payment_two_date","parcial_payment_two","status"
"3572","4563.08.20.3572","2020-9-22","6513.37","2020-9-22","6013.37","2020-9-22","500","paid"
"3583","4569.08.20.3583","2021-2-2","4625.45","2021-1-15","1407.55","2021-2-2","3217.9","paid"
"3657","4711.09.20","2021-6-23","1413.75","2021-5-7","1055","2021-6-23","358.75","paid"
"3673","4764.09.20","2021-9-30","2135","2021-5-28","1581.5","2021-9-30","553.5","paid"
"3705","4795.09.20","2021-6-23","2345","2020-12-18","1730","2021-6-23","615","paid"
"3757","4759.09.20","2021-9-30","5785","2021-5-28","4046.6","2021-9-30","1738.4","paid"
"3762","4735.09.20.3762","2021-6-23","1850","2021-5-7","1284.2","2021-6-23","565.8","paid"
"3851","4731.09.20.3851","2021-6-23","3469.5","2021-5-7","2493.7","2021-6-23","975.8","paid"
"3860","4737","2021-6-23","5393.75","2021-5-7","3825.5","2021-6-23","1568.25","paid"
"3870","4733.09.20.3870","2021-6-23","5212.5","2021-5-7","3593","2021-6-23","1619.5","paid"
"3872","4768.09.20.3872","2021-9-30","1565.25","2021-5-28","1169.6","2021-9-30","395.65","paid"
"3875","4715.09.20","2021-6-23","2525","2021-5-7","1850.96","2021-6-23","674.04","paid"
"3881","4712.09.20","2021-6-23","1693.75","2021-5-7","1235","2021-6-23","458.75","paid"
"3886","4691.09.20.3886","2021-6-23","2315","2021-5-7","1761.5","2021-6-23","553.5","paid"
"3898","4684.08.20.3898","2021-6-23","1775","2020-12-2","1283","2021-6-23","492","paid"
"3908","4761.09.20","2021-9-30","570","2021-5-28","488","2021-9-30","82","paid"
"3909","4774.09.20","2021-6-23","3476.25","2021-4-30","2441","2021-6-23","1035.25","paid"
"3912","4797.09.20","2021-6-23","2352.5","2020-10-27","1737.5","2021-6-23","615","paid"
"3913","4657.08.20.3913","2021-5-28","5085","2021-4-30","3576.2","2021-5-28","1508.8","paid"
"3920","4664.08.20.3920","2021-5-28","3062.5","2020-12-18","2160.5","2021-5-28","902","paid"
