"assignment_id","id","created_by","updated_by","start_date","end_date"
"7444","31","73","73","2021-4-12 14:00:00","2021-4-12 15:00:00"
"7445","35","73","73","2021-4-12 15:30:00","2021-4-12 16:30:00"
"7446","8","73","73","2021-4-14 16:00:00","2021-4-14 17:00:00"
"7447","8","73","73","2021-4-13 14:00:00","2021-4-13 15:00:00"
"7448","35","73","73","2021-4-13 08:00:00","2021-4-13 09:00:00"
"7449","8","73","73","2021-4-12 18:00:00","2021-4-12 19:00:00"
"7450","34","73","73","2021-4-12 17:30:00","2021-4-12 18:30:00"
"7451","9","73","73","2021-4-12 16:00:00","2021-4-12 17:00:00"
"7452","34","73","73","2021-4-13 13:00:00","2021-4-13 14:00:00"
"7453","8","73","73","2021-4-13 12:00:00","2021-4-13 13:00:00"
"7454","9","73","73","2021-4-13 18:00:00","2021-4-13 19:00:00"
"7455","9","73","73","2021-4-12 18:30:00","2021-4-12 19:30:00"
"7456","8","73","73","2021-4-13 11:00:00","2021-4-13 12:00:00"
"7457","31","73","73","2021-4-12 18:00:00","2021-4-12 19:00:00"
"7458","34","73","73","2021-4-13 08:00:00","2021-4-13 09:00:00"
"7459","9","73","73","2021-4-14 13:00:00","2021-4-14 14:00:00"
"7460","34","73","73","2021-4-13 12:00:00","2021-4-13 13:00:00"
"7461","35","73","73","2021-4-13 14:00:00","2021-4-13 15:00:00"
"7462","34","73","73","2021-4-13 15:00:00","2021-4-13 16:00:00"
"7463","10","73","73","2021-4-13 16:00:00","2021-4-13 17:00:00"
"7464","35","73","73","2021-4-13 15:00:00","2021-4-13 16:00:00"
"7465","10","73","73","2021-4-14 14:00:00","2021-4-14 15:00:00"
"7466","31","73","73","2021-4-13 12:30:00","2021-4-13 13:30:00"
"7467","34","73","73","2021-4-14 08:00:00","2021-4-14 09:00:00"
"7468","8","73","73","2021-4-14 08:00:00","2021-4-14 09:00:00"
"7469","8","73","73","2021-4-15 15:30:00","2021-4-15 16:30:00"
"7470","34","73","73","2021-4-13 18:00:00","2021-4-13 19:00:00"
