"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"1969"	"15"	"73"	"73"	"2020-4-9 09:00:00"	"2020-4-9 10:00:00"
"1970"	"7"	"73"	"73"	"2020-4-9 11:00:00"	"2020-4-9 12:00:00"
"1971"	"6"	"73"	"73"	"2020-4-13 11:00:00"	"2020-4-13 12:00:00"
"1972"	"7"	"73"	"73"	"2020-4-10 12:00:00"	"2020-4-10 13:00:00"
"1973"	"6"	"73"	"73"	"2020-4-9 09:00:00"	"2020-4-9 10:00:00"
"1974"	"15"	"73"	"73"	"2020-4-9 01:00:00"	"2020-4-9 02:00:00"
"1976"	"15"	"73"	"73"	"2020-4-12 10:00:00"	"2020-4-12 11:00:00"
"1977"	"6"	"73"	"73"	"2020-4-14 12:00:00"	"2020-4-14 13:00:00"
"1978"	"15"	"73"	"73"	"2020-4-13 16:00:00"	"2020-4-13 17:00:00"
"1979"	"6"	"73"	"73"	"2020-4-14 09:00:00"	"2020-4-14 10:00:00"
"1980"	"15"	"73"	"73"	"2020-4-14 08:00:00"	"2020-4-14 09:00:00"
"1982"	"15"	"73"	"73"	"2020-4-14 14:00:00"	"2020-4-14 15:00:00"
"1983"	"15"	"73"	"73"	"2020-4-14 16:00:00"	"2020-4-14 17:00:00"
"1984"	"15"	"73"	"73"	"2020-4-16 16:00:00"	"2020-4-16 17:00:00"
"1985"	"15"	"73"	"73"	"2020-4-17 08:00:00"	"2020-4-17 09:00:00"
"1986"	"7"	"73"	"73"	"2020-4-17 17:00:00"	"2020-4-17 18:00:00"
"1987"	"15"	"73"	"73"	"2020-4-17 12:00:00"	"2020-4-17 13:00:00"
"1988"	"15"	"73"	"73"	"2020-4-17 12:00:00"	"2020-4-17 13:00:00"
"1989"	"15"	"73"	"73"	"2020-4-17 15:00:00"	"2020-4-17 16:00:00"
"1990"	"6"	"73"	"73"	"2020-4-17 12:30:00"	"2020-4-17 13:30:00"
"1991"	"15"	"73"	"73"	"2020-4-17 15:00:00"	"2020-4-17 16:00:00"
"1992"	"15"	"73"	"73"	"2020-4-18 10:00:00"	"2020-4-18 11:00:00"
"1993"	"15"	"73"	"73"	"2020-4-18 10:00:00"	"2020-4-18 11:00:00"
"1994"	"15"	"73"	"73"	"2020-4-19 10:00:00"	"2020-4-19 11:00:00"
"1995"	"15"	"73"	"73"	"2020-4-19 08:00:00"	"2020-4-19 09:00:00"
"1996"	"7"	"73"	"73"	"2020-4-19 11:00:00"	"2020-4-19 12:00:00"
"1997"	"7"	"73"	"73"	"2020-4-19 12:00:00"	"2020-4-19 13:00:00"
"1998"	"15"	"73"	"73"	"2020-4-21 08:00:00"	"2020-4-21 09:00:00"
"1999"	"15"	"73"	"73"	"2020-4-20 16:00:00"	"2020-4-20 17:00:00"
"2000"	"15"	"73"	"73"	"2020-4-21 12:00:00"	"2020-4-21 13:00:00"
"2001"	"15"	"73"	"73"	"2020-4-21 10:00:00"	"2020-4-21 11:00:00"
"2003"	"6"	"73"	"73"	"2020-4-21 09:00:00"	"2020-4-21 10:00:00"
"2004"	"6"	"73"	"73"	"2020-4-21 12:00:00"	"2020-4-21 13:00:00"
"2005"	"7"	"73"	"73"	"2020-4-21 10:00:00"	"2020-4-21 11:00:00"
"2006"	"6"	"73"	"73"	"2020-4-21 15:00:00"	"2020-4-21 16:00:00"
"2007"	"7"	"73"	"73"	"2020-4-21 12:00:00"	"2020-4-21 13:00:00"
"2008"	"6"	"73"	"73"	"2020-4-28 13:00:00"	"2020-4-28 14:00:00"
"2009"	"7"	"73"	"73"	"2020-4-21 15:00:00"	"2020-4-21 16:00:00"
"2011"	"6"	"73"	"73"	"2020-4-24 12:00:00"	"2020-4-24 13:00:00"
"2013"	"15"	"73"	"73"	"2020-4-23 09:00:00"	"2020-4-23 10:00:00"
"2014"	"7"	"73"	"73"	"2020-4-22 16:00:00"	"2020-4-22 17:00:00"
"2015"	"7"	"73"	"73"	"2020-4-22 14:00:00"	"2020-4-22 15:00:00"
"2016"	"6"	"73"	"73"	"2020-4-22 13:00:00"	"2020-4-22 14:00:00"
