"id_assignment","id_job_type","report"
"8432","1","4"
"8437","1","27,35,"
"8441","1","30,43,"
"8424","1","31,32,"
"8424","11","20,31,32,"
"8425","2","4,"
"8438","1","21,26,"
"8411","2","4,"
"8443","1","4"
"8394","2","27,35,"
"8444","1","30,43,"
"8435","1","20,31,32,"
"8440","1","4"
"8440","1","4"
"8448","3","27,35,"
"8445","1","31,32,"
"8453","1","27,35,"
"8417","1","4,20,31,32,"
"8417","11","4,16,20,31,32,"
"8449","7","21,26,"
"8435","11","16,20,31,32,"
"8398","2","4,"
"8459","1","31,"
"8461","1","4,"
"8451","1","4,"
"8422","2","20,"
"8468","1","31,"
"8419","2","4,"
"8433","2","20,"
"8457","1","30,43,"
"8462","1","21,26"
"8470","1","31,"
"8410","2","21,26,"
"8416","2","4,"
"8467","2","20,"
"8476","1","4,"
"8463","1","26,30,"
"8475","1","27,35,"
"8477","1","4"
"8452","2","31,"
"8479","3","31,"
"8482","1","4,21"
"8481","1","4,21,"
"8483","1","4,15"
"8376","2","20,35,"
"8474","1","4,31,32,"
"8413","2","31,"
"8460","2","21,26,"
"8434","2","31,"
"8491","1","21,27,"
"8484","1","35,"
"8485","1","20,35,"
"8485","8","20,35,"
"8442","11","31,32,"
"8472","2","21,26,"
"8496","1","21,27,"
"8495","1","21,26,"
"8502","1","21,26,"
"8507","1","35,"
"8508","1","35,"
"8480","3","16,26,"
"8455","2","20,31,35,"
"8511","1","30,43,"
"8469","2","31,"
"8490","7","16,"
"8515","1","21,26,"
"8450","2","35,"
"8458","2","20,"
"8500","2","21,26,"
"8514","1","16,27,"
"8505","2","31,"
"8471","2","20,"
"8506","1","21,26,"
"8513","4","31,"
"8519","1","20,"
"8466","2","21,26,"
"8473","2","31,"
"8492","1","20,"
"8520","2","1,15,26,"
"8436","2","21,26,"
"8516","1","31,32,"
"8516","11","27,31,32,35,"
"8523","1","31,"
"8509","3","16,27,"
"8504","1","20,32,35,"
"8524","1","16,27,"
"8504","11","16,20,27,31,32,35,"
"8526","1","31,"
"8489","7","27,"
"8499","1","16,27,35,"
"8499","11","16,20,27,32,35,"
"8456","2","21,26,"
"8522","1","20,"
"8489","2","29,"
"8493","2","31,32,"
"8529","1","16,27,"
"8527","1","31,32,"
"8537","1","21,26,"
"8532","1","35,"
"8501","2","20,"
"8538","1","27,"
"8534","1","31,32,"
"8535","1","31,32,"
"8543","1","31,32,"
"8544","1","31,32,"
"8542","1","16,27,"
"8528","2","21,27,"
"8536","1","16,20,27,31,32,35,"
"8536","8","16,20,27,31,32,35,"
"8536","11","16,20,27,31,32,35,"
"8539","2","4,"
"8546","1","4,"
"8545","8","21,27,"
"8533","2","31,32,"
"8540","2","20,26,35,"
"8541","1","27,31,"
"8555","1","26,35,"
"8558","1","4"
"8557","1","31,32,"
"8550","1","21,27,"
"8561","1","31,32,"
"8521","2","21,27,"
"8518","2","20,26,35,"
"8566","1","31,32,"
"8565","1","4"
"8571","1","31,32,"
"8567","1","21,27,"
"8554","2","35,"
"8431","2","1,15,26,"
"8568","1","4,21,27,"
"8556","2","20,"
"8577","3","1,15,"
"8578","1","35,"
"8576","1","31,32,"
"8551","2","21,27,"
"8583","1","1,15,"
"8580","1","4,"
"8572","1","21,27,"
"8582","1","35,"
"8585","1","21,27"
"8587","1","4,"
"8591","1","30,43,"
"8590","1","20,"
"8564","2","31,32,"
"8584","1","26,35,"
"8562","7","21,27,"
"8563","7","30,43,"
"8595","1","26,35,"
"8598","1","4,"
"8593","1","20"
"8597","1","26,35,"
"8606","1","4,"
"8579","1","31,32,"
"8596","1","31,"
"8579","11","31,32,"
"8549","1","21,27,"
"8602","1","26"
"8608","1","21,27,"
"8588","1","20,"
"8604","1","31,"
"8589","2","31,"
